,location_ref,location_code,location_name,admin1_is_unspecified,admin2_is_unspecified,admin1_ref,admin1_code,admin1_name,admin2_ref,admin2_code,admin2_name,resource_hdx_id,gender,age_range,min_age,max_age,disabled_marker,sector_code,population_group,population_status,population,reference_period_start,reference_period_end,sector_name
64,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,NUT,all,INN,261641,2024-01-01 00:00:00,2024-12-31 23:59:59,Nutrition
65,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,NUT,all,TGT,203417,2024-01-01 00:00:00,2024-12-31 23:59:59,Nutrition
66,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO,REF,INN,97,2024-01-01 00:00:00,2024-12-31 23:59:59,Protection
67,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO,REF,TGT,97,2024-01-01 00:00:00,2024-12-31 23:59:59,Protection
68,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO,IDP,INN,4018,2024-01-01 00:00:00,2024-12-31 23:59:59,Protection
69,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO,IDP,TGT,2810,2024-01-01 00:00:00,2024-12-31 23:59:59,Protection
70,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO,all,INN,654208,2024-01-01 00:00:00,2024-12-31 23:59:59,Protection
71,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO,all,TGT,101124,2024-01-01 00:00:00,2024-12-31 23:59:59,Protection
72,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-CPN,REF,INN,39,2024-01-01 00:00:00,2024-12-31 23:59:59,Child Protection
73,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-CPN,REF,TGT,25,2024-01-01 00:00:00,2024-12-31 23:59:59,Child Protection
